Ano,Município,Grau Instrução,Salário,SaldoMov
2007,352050,01,14799,17
2007,352050,02,-53222,-64
2007,352050,03,-26282,12
2007,352050,04,71762,195
2007,352050,05,-259014,-42
2007,352050,06,42230,274
2007,352050,07,4124586,4336
2007,352050,08,136937,164
2007,352050,09,1103388,434
2007,352250,01,-1825,-1
2007,352250,02,-34980,-29
2007,352250,03,1542,13
2007,352250,04,46927,102
2007,352250,05,267024,370
2007,352250,06,29959,117
2007,352250,07,471900,870
2007,352250,08,32240,44
2007,352250,09,-39749,98
2007,352310,01,2134,3
2007,352310,02,-32516,-18
2007,352310,03,-102838,-89
2007,352310,04,-118145,10
2007,352310,05,39985,279
2007,352310,06,10037,140
2007,352310,07,357893,1318
2007,352310,08,-29244,20
2007,352310,09,-26398,66
2007,352340,01,-12230,-18
2007,352340,02,-9203,8
2007,352340,03,-132341,-166
2007,352340,04,118402,270
2007,352340,05,125401,368
2007,352340,06,91627,266
2007,352340,07,335806,803
2007,352340,08,-14251,60
2007,352340,09,-180012,62
