Ano,Município,Raça Cor,Salário,SaldoMov
2007,353980,{ñ,9313,12
2007,354100,01,-1857,15
2007,354100,02,55565,429
2007,354100,04,40171,139
2007,354100,06,2450,1
2007,354100,08,275906,652
2007,354100,09,-233868,-222
2007,354100,{ñ,1398,1
2007,354140,01,-17076,-16
2007,354140,02,-1393484,691
2007,354140,04,-88438,115
2007,354140,06,-18993,-17
2007,354140,08,-26915,482
2007,354140,09,311119,572
2007,354140,{ñ,3507,4
2007,354340,01,172281,337
2007,354340,02,356911,5744
2007,354340,04,324494,987
2007,354340,06,-39097,16
2007,354340,08,849981,2344
2007,354340,09,228603,453
2007,354340,{ñ,-4396,-11
2007,354390,01,16079,24
2007,354390,02,699721,3326
2007,354390,04,138338,299
2007,354390,06,-3620,7
2007,354390,08,274831,591
2007,354390,09,133434,217
2007,354390,{ñ,-1851,-5
2007,354520,01,-12050,-17
2007,354520,02,-43563,798
2007,354520,04,35832,87
2007,354520,06,-21494,-9
2007,354520,08,88147,196
2007,354520,09,18163,41
2007,354520,{ñ,-1051,-1
2007,354580,01,13090,22
2007,354580,02,-141944,957
2007,354580,04,77250,131
2007,354580,06,-27456,-24
2007,354580,08,63136,-26
2007,354580,09,230483,400
2007,354580,{ñ,36813,47
2007,354730,01,-16462,-19
2007,354730,02,1080665,781
2007,354730,04,131801,302
2007,354730,06,-20967,-7
2007,354730,08,811831,1531
2007,354730,09,-491867,-570
2007,354730,{ñ,8983,12
2007,354780,01,117018,311
2007,354780,02,2203668,5530
2007,354780,04,590454,1031
2007,354780,06,3065,80
2007,354780,08,1764048,3329
2007,354780,09,170913,493
2007,354780,{ñ,23722,30
2007,354850,01,-33992,-11
2007,354850,02,-3157323,1545
2007,354850,04,198543,519
2007,354850,06,-120377,-6
2007,354850,08,940570,2201
2007,354850,09,631101,595
2007,354850,{ñ,79744,44
2007,354870,01,-183635,-6
2007,354870,02,-68328,8050
2007,354870,04,123060,619
2007,354870,06,-1037,10
2007,354870,08,1107493,3596
2007,354870,09,1440768,1979
2007,354870,{ñ,72315,79
2007,354880,01,2900,18
2007,354880,02,1277549,2671
2007,354880,04,325277,583
2007,354880,06,-486,35
2007,354880,08,-474959,-924
2007,354880,09,-80494,-117
2007,354880,{ñ,18761,22
2007,354890,01,-4245,-11
2007,354890,02,47013,1919
2007,354890,04,73188,151
2007,354890,06,-7166,-1
2007,354890,08,104646,288
2007,354890,09,213730,245
2007,354890,{ñ,10119,25
2007,354980,01,13508,45
2007,354980,02,-643960,4936
2007,354980,04,55494,262
2007,354980,06,-9546,15
2007,354980,08,247527,694
2007,354980,09,-23689,15
2007,354980,{ñ,5913,18
2007,354990,01,-13958,51
2007,354990,02,2671903,9250
2007,354990,04,129212,557
2007,354990,06,-284664,2
2007,354990,08,3870776,4704
2007,354990,09,192897,360
2007,354990,{ñ,1874,8
2007,355030,01,-1396801,291
2007,355030,02,42806090,131515
2007,355030,04,10040813,19138
2007,355030,06,-1450744,1063
2007,355030,08,39621674,69228
2007,355030,09,8850522,11977
2007,355030,{ñ,1151723,1238
2007,355070,01,-491,3
2007,355070,02,-248771,-56
2007,355070,04,-5722,41
2007,355070,06,-331,0
2007,355070,08,-56581,276
2007,355070,09,72879,131
2007,355070,{ñ,30191,31
